total_orders,buy_orders,sell_orders,holdings_count,avg_trade_size,concentration,trades_last_7_days,avg_recent_trade_size,risk_profile
3,2,1,6,546.3466666666667,0.28125,3,546.3466666666667,Conservative
8,3,5,6,398.94125,0.28,8,398.94125,Conservative
7,6,1,6,377.64285714285717,0.21621621621621623,7,377.64285714285717,Conservative
3,1,2,6,815.81,0.2564102564102564,3,815.81,Conservative
5,2,3,5,175.604,0.3333333333333333,5,175.604,Conservative
3,2,1,5,924.8733333333333,0.2777777777777778,3,924.8733333333333,Conservative
3,1,2,5,575.2466666666667,0.23333333333333334,3,575.2466666666667,Conservative
7,4,3,7,500.8542857142857,0.2564102564102564,7,500.8542857142857,Conservative
5,3,2,7,677.328,0.18518518518518517,5,677.328,Conservative
6,1,5,7,318.86333333333334,0.23809523809523808,6,318.86333333333334,Conservative
8,4,4,7,429.81,0.25,8,429.81,Conservative
7,4,3,5,322.83142857142855,0.3448275862068966,7,322.83142857142855,Conservative
4,1,3,6,639.8475,0.22727272727272727,4,639.8475,Conservative
5,2,3,7,334.56,0.2127659574468085,5,334.56,Conservative
4,1,3,5,396.985,0.25,4,396.985,Conservative
8,2,6,6,371.00625,0.2564102564102564,8,371.00625,Conservative
3,2,1,6,779.08,0.2631578947368421,3,779.08,Conservative
7,6,1,5,570.5614285714286,0.29411764705882354,7,570.5614285714286,Conservative
4,1,3,7,529.6125,0.19148936170212766,4,529.6125,Conservative
3,1,2,7,927.0066666666667,0.24324324324324326,3,927.0066666666667,Conservative
5,4,1,5,255.19,0.2727272727272727,5,255.19,Conservative
4,3,1,5,689.6875,0.3333333333333333,4,689.6875,Conservative
7,5,2,5,974.0285714285715,0.3333333333333333,7,974.0285714285715,Conservative
4,3,1,7,1260.0175,0.20454545454545456,4,1260.0175,Conservative
3,3,0,7,1060.8633333333332,0.22580645161290322,3,1060.8633333333332,Conservative
5,4,1,7,378.856,0.21621621621621623,5,378.856,Conservative
6,3,3,5,1517.635,0.3333333333333333,6,1517.635,Conservative
6,2,4,5,208.95166666666665,0.3125,6,208.95166666666665,Conservative
3,1,2,6,906.47,0.2631578947368421,3,906.47,Conservative
3,1,2,7,610.0233333333333,0.20833333333333334,3,610.0233333333333,Conservative
3,1,2,5,1104.8833333333334,0.3333333333333333,3,1104.8833333333334,Conservative
3,1,2,7,1315.6666666666667,0.2903225806451613,3,1315.6666666666667,Conservative
5,2,3,6,103.918,0.21212121212121213,5,103.918,Conservative
8,6,2,7,818.42625,0.2,8,818.42625,Conservative
6,3,3,7,499.2083333333333,0.20833333333333334,6,499.2083333333333,Conservative
6,5,1,6,455.74666666666667,0.23684210526315788,6,455.74666666666667,Conservative
8,4,4,6,653.485,0.3103448275862069,8,653.485,Conservative
7,4,3,6,597.5414285714286,0.2564102564102564,7,597.5414285714286,Conservative
4,2,2,6,652.015,0.26666666666666666,4,652.015,Conservative
6,2,4,6,602.5616666666666,0.26666666666666666,6,602.5616666666666,Conservative
5,2,3,6,329.596,0.21951219512195122,5,329.596,Conservative
3,2,1,5,459.61333333333334,0.2962962962962963,3,459.61333333333334,Conservative
4,3,1,6,1218.48,0.2903225806451613,4,1218.48,Conservative
7,5,2,7,562.2885714285715,0.18421052631578946,7,562.2885714285715,Conservative
5,3,2,6,581.942,0.3125,5,581.942,Conservative
4,3,1,5,339.715,0.23255813953488372,4,339.715,Conservative
7,6,1,6,859.9242857142857,0.1956521739130435,7,859.9242857142857,Conservative
4,3,1,5,927.925,0.3225806451612903,4,927.925,Conservative
4,3,1,7,670.455,0.18518518518518517,4,670.455,Conservative
6,4,2,6,355.69,0.2564102564102564,6,355.69,Conservative
7,5,2,5,408.7442857142857,0.2857142857142857,7,408.7442857142857,Conservative
5,1,4,5,355.99,0.3333333333333333,5,355.99,Conservative
3,2,1,6,587.4766666666667,0.32142857142857145,3,587.4766666666667,Conservative
4,2,2,7,264.1575,0.19148936170212766,4,264.1575,Conservative
5,3,2,6,796.418,0.32142857142857145,5,796.418,Conservative
8,4,4,6,665.6,0.2631578947368421,8,665.6,Conservative
5,4,1,6,218.232,0.2702702702702703,5,218.232,Conservative
7,3,4,7,1237.52,0.24390243902439024,7,1237.52,Conservative
8,5,3,6,448.48375,0.2857142857142857,8,448.48375,Conservative
7,3,4,6,980.7214285714285,0.28125,7,980.7214285714285,Conservative
7,5,2,6,493.45285714285717,0.225,7,493.45285714285717,Conservative
6,2,4,7,621.955,0.20833333333333334,6,621.955,Conservative
7,5,2,6,960.3714285714286,0.26666666666666666,7,960.3714285714286,Conservative
6,5,1,7,320.24833333333333,0.2222222222222222,6,320.24833333333333,Conservative
4,2,2,5,202.79,0.24390243902439024,4,202.79,Conservative
7,5,2,6,338.71714285714285,0.25,7,338.71714285714285,Conservative
4,2,2,6,610.8125,0.21951219512195122,4,610.8125,Conservative
6,3,3,7,421.15833333333336,0.23684210526315788,6,421.15833333333336,Conservative
7,3,4,6,663.3771428571429,0.3076923076923077,7,663.3771428571429,Conservative
6,2,4,6,282.8516666666667,0.25,6,282.8516666666667,Conservative
5,3,2,6,845.044,0.18518518518518517,5,845.044,Conservative
8,4,4,7,637.2525,0.3076923076923077,8,637.2525,Conservative
3,2,1,5,1127.38,0.3333333333333333,3,1127.38,Conservative
8,6,2,7,358.75,0.2631578947368421,8,358.75,Conservative
5,3,2,7,425.154,0.22857142857142856,5,425.154,Conservative
4,1,3,6,683.21,0.2903225806451613,4,683.21,Conservative
5,2,3,7,667.602,0.23255813953488372,5,667.602,Conservative
7,3,4,6,816.5957142857143,0.2857142857142857,7,816.5957142857143,Conservative
6,1,5,7,667.6216666666667,0.2413793103448276,6,667.6216666666667,Conservative
5,3,2,6,126.344,0.3448275862068966,5,126.344,Conservative
6,2,4,5,398.9583333333333,0.47368421052631576,6,398.9583333333333,Conservative
8,2,6,6,277.42,0.22580645161290322,8,277.42,Conservative
6,5,1,7,519.3516666666667,0.1836734693877551,6,519.3516666666667,Conservative
7,1,6,7,864.5971428571429,0.21621621621621623,7,864.5971428571429,Conservative
6,4,2,5,542.7733333333333,0.2857142857142857,6,542.7733333333333,Conservative
4,1,3,6,337.985,0.2857142857142857,4,337.985,Conservative
8,6,2,7,1192.60125,0.23076923076923078,8,1192.60125,Conservative
5,1,4,5,541.618,0.2727272727272727,5,541.618,Conservative
3,2,1,7,574.0266666666666,0.19148936170212766,3,574.0266666666666,Conservative
5,1,4,7,610.836,0.20454545454545456,5,610.836,Conservative
5,3,2,6,1400.53,0.2903225806451613,5,1400.53,Conservative
8,3,5,6,954.26,0.2727272727272727,8,954.26,Conservative
6,3,3,5,785.6383333333333,0.32142857142857145,6,785.6383333333333,Conservative
8,4,4,5,560.585,0.2962962962962963,8,560.585,Conservative
8,7,1,7,554.88625,0.20833333333333334,8,554.88625,Conservative
5,4,1,6,643.856,0.20930232558139536,5,643.856,Conservative
5,3,2,6,752.684,0.3,5,752.684,Conservative
3,2,1,7,271.36333333333334,0.21052631578947367,3,271.36333333333334,Conservative
8,3,5,5,394.875,0.2222222222222222,8,394.875,Conservative
3,2,1,5,736.0666666666667,0.225,3,736.0666666666667,Conservative
5,1,4,5,281.57,0.34782608695652173,5,281.57,Conservative
4,2,2,5,342.33,0.2727272727272727,4,342.33,Conservative
7,3,4,7,666.92,0.35714285714285715,7,666.92,Conservative
5,2,3,7,821.466,0.2727272727272727,5,821.466,Conservative
6,4,2,6,773.99,0.30303030303030304,6,773.99,Conservative
5,0,5,6,437.342,0.3103448275862069,5,437.342,Conservative
4,2,2,7,561.65,0.19607843137254902,4,561.65,Conservative
4,3,1,7,1069.1375,0.16666666666666666,4,1069.1375,Conservative
7,3,4,7,288.76428571428573,0.16393442622950818,7,288.76428571428573,Conservative
8,3,5,7,505.815,0.1951219512195122,8,505.815,Conservative
4,0,4,5,109.65,0.2857142857142857,4,109.65,Conservative
6,1,5,5,1398.035,0.35714285714285715,6,1398.035,Conservative
3,2,1,5,1159.8866666666668,0.3125,3,1159.8866666666668,Conservative
4,0,4,5,657.8725,0.3333333333333333,4,657.8725,Conservative
7,6,1,6,576.2271428571429,0.30303030303030304,7,576.2271428571429,Conservative
7,3,4,6,733.9471428571428,0.28125,7,733.9471428571428,Conservative
8,6,2,5,852.2725,0.23809523809523808,8,852.2725,Conservative
6,2,4,5,742.98,0.3888888888888889,6,742.98,Conservative
8,4,4,5,433.83875,0.2702702702702703,8,433.83875,Conservative
5,4,1,6,623.568,0.22727272727272727,5,623.568,Conservative
7,2,5,5,553.8928571428571,0.3103448275862069,7,553.8928571428571,Conservative
7,4,3,7,515.7185714285714,0.2702702702702703,7,515.7185714285714,Conservative
4,2,2,6,263.835,0.2571428571428571,4,263.835,Conservative
8,2,6,7,472.265,0.24324324324324326,8,472.265,Conservative
7,1,6,6,381.7157142857143,0.35,7,381.7157142857143,Conservative
5,3,2,5,303.042,0.3125,5,303.042,Conservative
6,3,3,5,365.29833333333335,0.2857142857142857,6,365.29833333333335,Conservative
7,4,3,7,1590.3285714285714,0.225,7,1590.3285714285714,Conservative
7,4,3,7,986.5685714285714,0.24390243902439024,7,986.5685714285714,Conservative
5,1,4,6,341.676,0.28125,5,341.676,Conservative
